Country,Country.Code,HH.Radio,HH.Radio.Year,HH.TV,HH.TV.Year,HH.FixedTel,HH.FixedTel.Year,HH.Mobile,HH.Mobile.Year,HH.Computer,HH.Computer.Year,HH.Internet,HH.Internet.Year,IDV.Computer,IDV.Computer.Year,IDV.Internet,IDV.Internet.Year,IDV.Mobile,IDV.Mobile.Year
Afghanistan,4,,,,,,,,,,,,,,,13.5,2017,,
Albania,8,,2018,99.3,2018,17.1,2018,86.6,2018,20.2,2018,32.9,2018,,,,,,
Algeria,12,52.6,2018,99,2018,27.7,2018,99.1,2018,42.2,2018,74.4,2018,33.3,2018,49,2018,91.7,2018
Andorra,20,,,,,,,,,85.7,2017,94.5,2017,,,91.6,2017,,
Angola,24,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,28,,,,,,,,,,,,,,,,,,
Argentina,32,,,,,,,,,64.3,2017,75.9,2017,44.8,2017,74.3,2017,81.2,2017
Armenia,51,98.9,2016,98.8,2016,62.1,2016,97.7,2016,64.6,2017,64.7,2017,67.9,2016,64.7,2017,,
Australia,36,,,,,,,,,82.4,2017,86.1,2017,,,86.5,2017,,
Austria,40,,,,,,,,,85.4,2017,88.8,2018,85.2,2017,87.5,2018,,
Azerbaijan,31,99.7,2018,100,2018,68.1,2018,91.1,2018,64.1,2018,78.2,2018,71.7,2018,79.8,2018,86.9,2018
Bahamas,44,,,,,,,,,,,,,,,,,,
Bahrain,48,57.6,2018,97.4,2018,13.2,2017,99.8,2017,94.8,2018,98.6,2018,71.3,2015,98.6,2018,100,2018
Bangladesh,50,0.6,2019,50.6,2019,,,,,5.6,2019,37.6,2019,,,15,2017,,
Barbados,52,,,,,,,,,,,,,,,,,,
Belarus,112,,,98.3,2018,92.7,2018,97.3,2018,70,2018,72.4,2018,73.5,2018,79.1,2018,97.2,2018
Belgium,56,,,,,,,,,85.1,2017,87.3,2018,85.4,2017,88.7,2018,97.3,2017
Belize,84,58.7,2019,78.7,2019,7.2,2019,93.6,2019,36.1,2019,57.5,2019,,,,,,
Benin,204,,,,,,,,,,,,,,,20,2017,,
Bhutan,64,23.9,2017,71.5,2017,4,2017,97,2017,23.6,2017,44.3,2017,,,,,,
Bolivia (Plurinational State of),68,43.9,2018,81.2,2018,,,,,24.9,2018,16.2,2018,29.7,2018,44.3,2018,69.7,2018
Bosnia and Herzegovina,70,64.9,2019,98.3,2019,,,90.6,2019,64.8,2019,72,2019,62.2,2019,69.9,2019,,
Botswana,72,,,,,,,,,,,,,,,47,2017,,
Brazil,76,62.4,2018,95.6,2018,24.1,2018,92.8,2018,41.8,2018,66.7,2018,38.6,2018,70.4,2018,88,2018
Brunei Darussalam,96,63,2018,91.9,2018,33.8,2018,94.5,2018,93,2016,53.6,2018,58,2016,90,2016,,
Bulgaria,100,,,,,,,,,63,2017,72.1,2018,60.5,2017,64.8,2018,,
Burkina Faso,854,,,,,,,,,4.8,2015,,,,,16,2017,,
Burundi,108,,,,,,,,,1,2017,0.3,2017,,,2.7,2017,,
Cabo Verde,132,46.4,2018,81.8,2018,20.7,2018,91,2018,37,2018,70.1,2018,32.5,2016,57.2,2017,,
Cambodia,116,42,2017,65.7,2017,1.1,2017,83.8,2017,15,2018,40,2018,27.4,2017,40,2018,,
Cameroon,120,,,,,,,,,16.9,2017,21.7,2017,,,23.2,2017,,
Canada,124,,,,,66.8,2016,87.9,2016,84.1,2016,86.9,2015,,,91,2017,,
Central African Rep.,140,,,,,,,,,,,,,,,,,,
Chad,148,,,,,,,,,,,,,,,,,,
Chile,152,,,,,,,,,60.2,2017,87.5,2017,,,82.3,2017,,
China,156,,,,,,,,,,,,,,,50.3,2015,,
Colombia,170,69.7,2018,90.7,2018,29.2,2018,95.2,2018,41.6,2018,52.7,2018,44.9,2018,64.1,2018,85.2,2018
Comoros,174,,,,,,,,,,,,,,,,,,
Congo (Rep. of the),178,,,,,,,,,,,,,,,,,,
Costa Rica,188,62.1,2017,95.7,2017,36.6,2017,94,2017,50.4,2018,73.1,2018,59.1,2017,74.1,2018,,
Côte d.Ivoire,384,,,,,,,,,5.6,2018,15.9,2018,,,46.8,2018,,
Croatia,191,,,,,,,,,76.2,2018,81.5,2018,69.3,2018,75.3,2018,,
Cuba,192,52,2017,94.9,2017,25.8,2015,47,2015,15.7,2019,28.2,2019,33.1,2019,62.7,2019,44.1,2017
Cyprus,196,,,,,,,,,78.7,2018,86.2,2018,70.3,2015,84.4,2018,,
Czech Republic,203,,,,,,,,,78.4,2018,80.5,2018,77,2017,80.7,2018,96,2018
Dem. Peoples Rep. of Korea,408,,,,,,,,,,,,,,,,,,
Dem. Rep. of the Congo,180,,,,,,,,,,,,,,,,,,
Denmark,208,30.8,2018,74.1,2018,18,2018,94.2,2018,89.3,2018,92.7,2018,92.1,2018,97.3,2018,88.5,2018
Djibouti,262,,,,,,,,,36.6,2017,57.7,2017,,,55.7,2017,,
Dominica,212,,,,,,,,,,,,,,,,,,
Dominican Rep.,214,55.3,2017,85.4,2017,24.2,2017,90.9,2017,26.7,2018,31.6,2018,40,2017,74.8,2018,85.8,2017
Ecuador,218,25.9,2017,71.8,2017,36.9,2017,90.7,2017,40.7,2017,37.2,2017,,,54.1,2016,,
Egypt,818,28.4,2017,98.8,2017,27.4,2017,98.2,2017,61.2,2018,53.9,2018,43.6,2017,46.9,2018,98,2017
El Salvador,222,28.6,2017,87.1,2017,18.6,2017,92.6,2017,15.7,2017,17.1,2017,19.3,2017,33.8,2017,80.9,2017
Equatorial Guinea,226,,,,,,,,,,,,,,,,,,
Eritrea,232,,,,,,,,,,,,,,,,,,
Estonia,233,,,,,,,,,86.9,2017,90.5,2018,87.6,2017,89.4,2018,,
Eswatini,748,,,,,,,,,,,,,,,47,2017,,
Ethiopia,231,,,,,,,,,5,2016,15.4,2016,,,15.4,2016,,
Fiji,242,,,,,,,,,,,,,,,,,,
Finland,246,,,,,,,,,87.2,2018,88.9,2018,92.9,2015,88.9,2018,,
France,250,,,,,,,,,77.5,2017,82.4,2018,75,2015,82,2018,,
Gabon,266,,,,,,,,,,,,,,,62,2017,,
Gambia,270,,,,,,,,,,,,,,,,,,
Georgia,268,1.5,2018,97.2,2018,30.7,2018,96.1,2018,64.9,2018,75.8,2018,52.7,2018,62.7,2018,91.2,2018
Germany,276,,,,,,,,,88.1,2017,90.8,2019,88.8,2017,88.1,2019,,
Ghana,288,,,,,,,,,,,,,,,39,2017,,
Greece,300,,,,,,,,,68.6,2015,69.1,2016,66.6,2015,73,2018,,
Grenada,308,,,,,,,,,,,,,,,,,,
Guatemala,320,,,,,,,,,,,,,,,65,2017,,
Guinea,324,,,,,,,,,,,,,,,18,2017,,
Guinea-Bissau,624,,,,,,,,,,,,,,,,,,
Guyana,328,,,,,,,,,,,,,,,,,,
Haiti,332,,,,,,,,,11,2018,7,2018,,,32.5,2018,,
Honduras,340,,,,,,,,,17.1,2017,,,,,31.7,2017,,
Hong Kong (China),344,,,,,,,,,75.3,2018,92.3,2018,80.3,2018,90.5,2018,96.6,2018
Hungary,348,,,,,,,,,,,83.3,2018,74.6,2017,76.1,2018,,
Iceland,352,,,,,,,,,,,,,,,99,2018,,
India,356,,,,,,,,,16.6,2018,,,,,22,2016,,
Indonesia,360,,,14.2,2018,2.6,2018,89.9,2018,20.1,2018,66.2,2018,19.1,2018,39.9,2018,73.8,2018
Iran (Islamic Republic of),364,92.7,2017,99.6,2017,78.3,2017,95.8,2017,74,2018,79.6,2018,48.5,2017,70,2018,80.7,2017
Iraq,368,,,,,,,,,81.2,2018,73.1,2018,,,75,2018,90,2018
Ireland,372,,,,,,,,,85.7,2018,89.1,2018,77.3,2015,84.5,2018,,
Israel,376,,,87.8,2018,56,2018,97.9,2018,80.3,2018,74.9,2018,72.5,2018,83.7,2018,,
Italy,380,,,96.6,2017,54.5,2017,95,2017,64.3,2017,71.7,2017,61.3,2015,74.4,2018,91.5,2017
Jamaica,388,73.2,2016,89.9,2016,11.2,2016,94.3,2016,36.4,2017,52.9,2017,31,2016,55.1,2017,82.6,2016
Japan,392,,,,,46,2017,28.7,2017,75.1,2018,95.7,2018,75.5,2017,91.3,2018,72.9,2018
Jordan,400,,,,,,,,,,,,,,,,,,
Kazakhstan,498,5.6,2015,98.8,2018,59.5,2018,98.3,2018,78.5,2018,87.6,2018,78,2018,78.9,2018,93,2018
Kenya,404,,,32,2015,,,,,6.6,2016,30,2016,9.5,2015,16.6,2016,68.2,2015
Kiribati,296,,,,,,,,,,,,,,,,,,
Korea (Rep. of),410,,,97.1,2018,34.4,2018,99.7,2018,72.4,2018,99.5,2018,82,2018,96,2018,99.7,2018
Kuwait,414,71.6,2018,99.3,2018,53,2018,99.4,2018,83.7,2018,100,2018,81.1,2018,99.6,2018,99,2018
Kyrgyzstan,417,,,,,,,,,,,,,,,38,2017,,
Lao P.D.R.,418,,,,,,,,,,,,,,,,,,
Latvia,428,,,,,,,,,77.4,2017,85.4,2019,88.3,2015,86.1,2019,,
Lebanon,422,,,,,,,,,,,,,,,,,,
Lesotho,426,,,,,,,,,,,,,,,29,2017,,
Liberia,430,,,,,,,,,,,,,,,33,2015,,
Libya,434,,,,,,,,,,,,,,,,,,
Liechtenstein,438,,,,,,,,,,,,,,,,,,
Lithuania,440,,,,,,,,,75.5,2018,78.4,2018,75.9,2017,79.7,2018,,
Luxembourg,442,,,,,,,,,,,93,2018,95.8,2017,97.1,2018,,
Macao (China),446,,,,,,,,,73.6,2018,90.2,2018,51,2018,83.8,2018,91.7,2018
Madagascar,450,,,,,,,,,,,,,,,,,,
Malawi,454,33.6,2018,11.8,2018,1.5,2018,51.7,2018,4.2,2018,10.5,2018,,,11.5,2016,,
Malaysia,458,95.7,2018,98.6,2018,26.5,2018,98.2,2018,71.7,2018,87,2018,70.5,2018,81.2,2018,97.9,2018
Maldives,462,,,,,,,,,,,,,,,,,,
Mali,466,100,2018,39.9,2018,1.3,2018,89.8,2018,4.2,2018,17.4,2018,,,13,2017,,
Malta,470,,,,,,,,,82.9,2017,84.1,2018,70.7,2017,81.7,2018,,
Marshall Islands,584,,,,,,,,,,,,,,,,,,
Mauritania,478,,,,,,,,,,,,,,,,,,
Mauritius,480,,,97.7,2018,70.5,2018,94.7,2018,51.2,2018,69.7,2018,48.4,2018,58.6,2018,85.9,2018
Mexico,484,56.2,2018,92.9,2018,37.5,2018,89.7,2018,44.9,2018,52.9,2018,45,2018,65.8,2018,73.5,2018
Micronesia,583,,,,,,,,,,,,,,,,,,
Moldova,498,59.9,2018,40.1,2018,1.3,2018,90.3,2018,4,2018,16.7,2018,,,71,2016,,
Monaco,492,,,,,,,,,,,,,,,,,,
Mongolia,496,13.5,2015,95.8,2015,4.6,2015,95.2,2015,36.5,2018,43.3,2018,,,47.2,2018,,
Montenegro,499,80.6,2015,99.2,2015,55.4,2015,95,2015,71.7,2015,72.2,2018,56.1,2018,71.5,2018,94.5,2015
Morocco,504,,,,,21.8,2018,99.9,2018,60.6,2018,74.2,2018,64.3,2018,64.8,2018,95.4,2018
Mozambique,508,,,,,,,,,,,,,,,10,2017,,
Myanmar,104,,,,,,,,,3.4,2017,,,,,,,45.8,2017
Namibia,516,,,,,,,,,,,,,,,51,2017,,
Nauru,520,,,,,,,,,,,,,,,,,,
Nepal (Republic of),524,,,,,,,,,,,,,,,34,2017,,
Netherlands,528,,,,,,,,,91,2017,96.2,2017,92.3,2015,94.7,2018,,
New Zealand,554,,,,,,,,,,,,,,,,,,
Nicaragua,558,,,,,,,,,,,,,,,,,,
Niger,562,37,2018,14.1,2018,0.4,2018,59.8,2018,12,2018,9.8,2018,7.2,2018,5.3,2018,51.4,2018
Nigeria,566,,,,,0.9,2017,59.9,2017,2.5,2017,7.5,2017,9.4,2017,42,2017,65.1,2017
North Macedonia,807,,,,,,,,,67.3,2017,69.2,2017,66.4,2017,79.2,2018,61.5,2017
Norway,578,,,,,,,,,95,2017,96,2018,94.8,2015,96.5,2018,,
Oman,512,,,,,,,,,96.7,2019,94.5,2019,93,2019,92.4,2019,94,2016
Pakistan,586,,,,,4.9,2016,92.1,2016,16.1,2016,22.1,2016,7.4,2016,12.4,2016,84.7,2016
Panama,591,71.7,2015,87.5,2015,12.3,2015,70.6,2015,39.6,2015,52.7,2015,45.6,2015,51.2,2015,82.1,2015
Papua New Guinea,598,,,,,,,,,,,,,,,,,,
Paraguay,600,76.4,2018,91,2018,9.3,2018,96.7,2018,25.4,2018,24.4,2018,23.4,2018,65,2018,84.3,2018
Peru,604,71.9,2018,80.2,2018,20.6,2018,90.9,2018,32.4,2018,29.8,2018,31.6,2018,52.5,2018,80.7,2018
Philippines,608,29.6,2016,73.8,2016,6.7,2016,84.8,2016,23.4,2016,,,,,36,2015,,
Poland,616,,,,,,,,,82.7,2018,84.2,2018,74.9,2018,77.5,2018,,
Portugal,620,,,,,,,,,71.1,2015,79.4,2018,-,2018,74.7,2018,-,2018
Qatar,634,12.9,2019,96.5,2019,80.7,2019,100,2019,87.4,2019,93.6,2019,82.6,2019,99.7,2019,100,2019
Romania,642,,,,,,,,,73,2017,80.9,2018,52.2,2018,70.7,2018,60.8,2018
Russian Federation,643,,,,,,,,,72.4,2018,76.6,2018,74,2018,80.9,2018,,
Rwanda,646,59.8,2016,10,2016,,,,,2.5,2017,9.3,2017,,,,,,
Saint Kitts and Nevis,659,,,,,,,,,,,,,,,,,,
Saint Lucia,662,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,670,,,,,,,,,32.5,2017,54.9,2017,,,22.4,2018,,
Samoa,882,61.9,2016,81.7,2016,6.4,2016,90,2016,30.6,2016,3.8,2016,,,,,,
San Marino,674,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,678,,,,,,,,,,,,,,,,,,
Saudi Arabia,682,,,,,19,2018,99.6,2018,86.2,2018,94.5,2018,68.4,2018,93.3,2018,97.5,2018
Senegal,686,,,,,,,,,,,,,,,46,2017,,
Serbia,688,69.6,2018,99.1,2018,,,,,72.1,2018,72.9,2018,74.1,2018,73.4,2018,93.5,2018
Seychelles,690,,,,,,,,,,,,,,,,,,
Sierra Leone,694,,,,,,,,,,,,,,,9,2017,,
Singapore,702,63,2017,94.9,2017,82.6,2017,98.2,2017,88.7,2018,97.7,2018,73.5,2017,88.2,2018,88.8,2017
Slovakia,703,,,,,,,,,81.8,2017,82.2,2019,77.4,2015,80.7,2018,,
Slovenia,705,,,,,,,,,79.5,2017,86.7,2018,76.7,2017,79.7,2018,96.2,2018
Solomon Islands,90,,,,,,,,,,,,,,,,,,
Somalia,706,,,,,,,,,,,,,,,,,,
South Africa,710,51.3,2017,81.5,2017,8.3,2017,95.3,2017,21.9,2017,61.8,2017,,,,,,
South Sudan,728,,,,,,,,,,,,,,,,,,
Spain,724,67.8,2019,99.1,2019,74.9,2019,98.5,2019,80.9,2019,91.4,2019,74,2017,90.7,2019,96.9,2019
Sri Lanka,144,,,,,,,,,,,,,,,16.4,2016,,
Sudan,729,,,,,,,,,,,,,,,14.1,2016,,
Suriname,740,,,,,46.3,2016,97,2016,36.8,2017,33.5,2017,,,,,,
Sweden,752,,,,,,,,,,,,,92,2017,92.1,2018,83.6,2017
Switzerland,756,,,,,,,,,,,88.6,2017,,,89.7,2017,,
Syrian Arab Republic,760,,,,,,,,,,,,,,,,,,
Tajikistan,762,,,,,,,,,,,,,,,,,,
Tanzania,834,,,,,,,,,,,,,,,25,2017,,
Thailand,764,,,,,9.2,2017,95.4,2017,20.9,2018,67.7,2018,28.3,2018,56.8,2018,89.5,2018
Timor-Leste,626,,,,,,,,,,,,,,,,,,
Togo,768,,,,,,,,,9.5,2017,26.5,2017,,,12.4,2017,,
Tonga,776,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,780,,,,,,,,,,,,,,,,,,
Tunisia,788,,,,,,,,,47.5,2018,46,2018,,,64.2,2018,,
Turkey,792,,,,,20.2,2017,98.7,2019,55.3,2019,88.3,2019,45.5,2018,74,2019,93.5,2019
Turkmenistan,795,,,,,,,,,,,,,,,,,,
Tuvalu,798,,,,,,,,,,,,,,,,,,
Uganda,800,,,,,,,,,,,,,,,,,,
Ukraine,804,1,2018,94.7,2018,23.8,2017,96.5,2017,62.3,2018,61.9,2018,,,62.6,2018,,
United Arab Emirates,784,18.2,2018,94.3,2018,83,2018,100,2018,95.4,2018,98.4,2018,100,2018,98.5,2018,100,2018
United Kingdom,826,,,,,,,,,,,,,90.2,2015,94.9,2018,,
United States,840,,,,,,,,,92,2018,62.7,2018,,,87.3,2017,,
Uruguay,858,79.5,2018,96.6,2018,62.8,2018,94.8,2018,69.1,2018,66.2,2018,54.4,2018,74.8,2018,76.7,2018
Uzbekistan,860,20.8,2018,100,2018,,,,,39.9,2018,80.4,2018,49.7,2018,55.2,2018,93.5,2018
Vanuatu,548,,,,,,,,,,,,,,,,,,
Vatican,336,,,,,,,,,,,,,,,,,,
Venezuela,862,,,,,,,,,,,,,,,72,2017,,
Viet Nam,704,,,,,,,,,32.9,2018,47.1,2018,,,70.3,2018,,
Yemen,887,,,,,,,,,,,,,,,,,,
Zambia,894,,,,,,,,,8.1,2018,17.7,2018,,,14.3,2018,,
Zimbabwe,716,,,,,,,,,,,,,,,,,,